category_large,category_medium,category_small,class,data_id,name,price
생활용품,기타,기타,00000600100,148,개별포장양면이쑤시개1000개입,1000
생활용품,세탁용품,보풀제거기,00000600101,149,심플보풀제거기(블루),1000
생활용품,기타,기타,00000600102,150,흡착식헤어드라이기거치대,1000
생활용품,기타,기타,00000600103,151,틀니세정발포정40정,1000
생활용품,주방용품,식기류,00000600104,152,간편하게열리는직사각용기80ML,1000
소스,소스류,양념소스,00000700001,153,타이헤리티지 코코넛크림 400ML,1000
소스,장류,간장,00000700002,154,기꼬만 사시미 생간장소스 200ML,1000
소스,소스류,양념소스,00000700003,155,몬 스위트칠리소스435ML,1000
소스,장류,간장,00000700004,156,기꼬만 혼쯔유 500ML,1000
소스,소스류,양념소스,00000700005,157,토니 로마스 오리지널 비비큐용 소스 510G,1000
소스,소스류,양념소스,00000700006,158,토니 로마스 캐롤라이나 허니 비비큐용 소스567G,1000
소스,소스류,양념소스,00000700007,159,더본 백종원의 만능양념장소스370G,1000
소스,소스류,파스타소스,00000700009,160,프레고 이탈리안소스프레쉬머시룸양송이버섯 680G,1000
소스,소스류,양념소스,00000700010,161,일본 불독 돈까스소스 300ML,1000
소스,소스류,국물용소스,00000700011,162,일본)가츠오맛샤브샤브용육수100ML,1000
소스,소스류,국물용소스,00000700012,163,신영 계피가루 40G,1000
소스,장류,된장,00000700013,164,신영 산초분말 37G,1000
소스,장류,기타장류,00000700014,165,이금기중화해선장,1000
소스,설탕류,물엿/시럽,00000700015,166,요리가달콤하게살아나는요리당,1000
소스,설탕류,물엿/시럽,00000700016,167,전통조청의깊고진한맛쌀엿,1000
소스,소스류,파스타소스,00000700017,168,바쏘 해바라기오일 2L,1000
소스,분말조미료,가공조미료,00000700018,169,이금기치킨파우더,1000
소스,소스류,양념소스,00000700019,170,프리토스할라피뇨체다치즈딥소스,1000
소스,가공분말류,기타제빵재료,00000700020,171,인스턴트분말이스트8G,1000
소스,소스류,상온드레싱,00000700021,172,유자오렌지드레싱 230G,1000
소스,장류,된장,00000700022,173,순창장류주식회사아이배냇순창한식된장,1000
상온HMR,식용유,올리브유,00000700028,174,롯데쇼핑)올리브유스프레이에어프라이어용200ML,1000
유제품,요구르트,떠먹는 요구르트,00000800001,175,토핑오트&애플시나몬,1000
유제품,요구르트,마시는 요구르트,00000800002,176,밀크씨슬간편한닥터캡슐,1000
유제품,요구르트,마시는 요구르트,00000800003,177,프로틴고단백질요거트,1000
유제품,치즈,리코타치즈,00000800004,178,갈바니 리코타치즈425G,1000
유제품,치즈,체다치즈,00000800005,179,벨치즈코리아 끼리 그릭스타일 200G,1000
유제품,요구르트,마시는 요구르트,00000800006,180,한국 야쿠르트 건강한 간 케어 쿠퍼스 프리미엄 140ML,1000
유제품,치즈,크림치즈,00000800007,181,프랑스)끼리크림치즈플레인108G,1000
유제품,치즈,크림치즈,00000800008,182,알미체리페퍼위드스파이스크림치즈,1000
음료,과채음료,과일음료,00000900001,183,DIMES 석류착즙주스1000ML,1000
음료,과채음료,과일음료,00000900002,184,DIMES 타트체리착즙주스 1000ML,1000
음료,커피음료,커피음료,00000900003,185,케이쿨120ML,1000
음료,기능성음료,기타기능성음료,00000900004,186,롯데쇼핑 파인애플착즙주스700ML,1000
음료,탄산수,플레인탄산수,00000900005,187,캐나다드라이토닉워터250ML,1000
음료,두유,기능성두유,00000900006,188,롯데쇼핑)콜라,1000
음료,기타,기타,00000900007,189,롯데쇼핑)스트로베리히비스커스로즈힙,1000
음료,과채음료,어린이음료,00000900008,190,롯데쇼핑)감귤착즙주스,1000
음료,과채음료,과일음료,00000900009,191,롯데쇼핑)석류착즙주스,1000
음료,기능성음료,기타기능성음료,00000900010,192,롯데쇼핑)물한방울넣지않은사과착즙주스,1000
음료,탄산음료,혼합탄산,00000900011,193,헛개숙취세트3G*100ML,1000
음료,과채음료,과일음료,00000900012,194,오랑지나420ML,1000
음료,탄산음료,사이다,00000900013,195,탄산이톡톡스파클링워터(레몬)350ML,1000
음료,과채음료,채소음료,00000900014,196,(주)두리두리퀘이커마시는오트밀오트&그린티하동녹차,1000
음료,기능성음료,기타기능성음료,00000900015,197,(주)두리두리퀘이커마시는오트밀오트&그레인,1000
음료,과채음료,어린이음료,00000900016,198,그래미여명1004천사의행복140ML,1000
의약외품,위생용품,콘돔,00001000001,199,메디바이스PlayBoy유틸리티울트라씬,1000
의약외품,구강용품,기타구강관리용품,00001000002,200,입터진날엔3개입9G,1000
의약외품,위생용품,밴드류,00001000003,201,해피홈아쿠아밴드,1000
의약외품,위생용품,콘돔,00001000004,202,원포 임신테스트기3개입,1000
의약외품,레저취미,반려묘/반려견용품,00001000005,203,펫퍼스펫퍼스배변유도제(애완용),1000
주류,맥주,수입맥주,00001200001,204,마이비어빅웨이브골든에일,1000
주류,와인,레드와인,00001200002,205,신세계스텅브루저먼레드,1000
주류,전통주,청주,00001200003,206,문배주양조원문배술,1000
주류,맥주,수입맥주,00001200004,207,비어벨트 브라우펄 펄스 500ML,1000
주류,전통주,과실주,00001200005,208,백운 복분자와인 300ML,1000
주류,맥주,수입맥주,00001200006,209,크루저라즈베리향(병),1000
주류,맥주,수입맥주,00001200007,210,페로니나스트라즈로(병),1000
주류,맥주,수입맥주,00001200008,211,크루저블루베리향(병),1000
주류,와인,스파클링와인,00001200009,212,다다(병),1000
주류,맥주,무알콜맥주,00001200010,213,크롬바커필스알코올프라이(무알콜)(병),1000
주류,맥주,수입맥주,00001200011,214,사이공스페셜(병),1000
주류,맥주,수입맥주,00001200012,215,벨코포포빅키코젤다크(캔),1000
주류,맥주,수입맥주,00001200013,216,스텔라아르투아(캔),1000
주류,맥주,수입맥주,00001200014,217,페로니나스트라즈로(캔),1000
주류,맥주,수입맥주,00001200015,218,호랄프리미엄필스너라거(캔),1000
주류,맥주,수입맥주,00001200016,219,롱보드아일랜드라거(캔),1000
주류,맥주,무알콜맥주,00001200017,220,클라우스탈러(병),1000
주류,맥주,수입맥주,00001200018,221,바바바맥주(캔),1000
주류,맥주,수입맥주,00001200019,222,스텔라아르투아(캔),1000
주류,소주,증류식소주,00001200020,223,충북맑은바람360ML,1000
주류,맥주,국내맥주,00001200021,224,프리미어오비640ML,1000
주류,맥주,수입맥주,00001200022,225,호프야거바이젠비어,1000
주류,맥주,수입맥주,00001200023,226,홉고블린 골드 500ML,1000
주류,맥주,국내맥주,00001200024,227,프리미어오비355ml,1000
주류,맥주,수입맥주,00001200025,228,페로니나스트라즈로(캔),1000
주류,맥주,수입맥주,00001200026,229,코로나엑스트라(캔),1000
주류,맥주,수입맥주,00001200027,230,크롬바커(캔),1000
주류,맥주,수입맥주,00001200028,231,홉고블린(캔),1000
주류,맥주,수입맥주,00001200029,232,주부르그랜드(캔),1000
주류,기타주류,보드카,00001200030,233,에드워드러시안베어파인애플향,1000
주류,맥주,무알콜맥주,00001200031,234,칭따오논알콜릭,1000
주류,전통주,고량주,00001200032,235,장샤오바이 강소백,1000
주류,맥주,수입맥주,00001200033,236,비어케이칭따오맥주200ML,1000
커피차,분말차,옥수수차,00001300001,237,대한다업순작유기농옥수수수염차,1000
커피차,분말차,기타,00001300002,238,산들 노니 140G,1000
커피차,분말차,기타,00001300003,239,산들 계피 180G,1000
커피차,분말차,기타,00001300004,240,산들 차가버섯 120G,1000
커피차,분말차,기타,00001300005,241,산들 볶음돼지감자 140G,1000
커피차,분말차,기타,00001300006,242,양파껍질차24G,1000
커피차,분말차,커피,00001300007,243,트룽 G7블랙커피 15T 30G,1000
커피차,분말차,잎차,00001300008,244,트와이닝 레몬보이차 25T 50G,1000
커피차,분말차,커피,00001300009,245,파워루트_알리카페카푸치노_10T 200G,1000
커피차,분말차,허브차,00001300010,246,롯데마트)루이보스차,1000
커피차,분말차,허브차,00001300011,247,롯데쇼핑)페퍼민트차미국산(OEM)20T,1000
커피차,분말차,커피,00001300012,248,카페드롭탑더치아메리카노20G,1000
커피차,분말차,녹차/현미녹차,00001300013,249,캐모마일 현미녹차 40T,1000
커피차,분말차,코코아/핫초코,00001300014,250,미가방주식회사제티초콕바나나맛,1000
커피차,분말차,코코아/핫초코,00001300015,251,미가방주식회사제티초콕딸기맛,1000
음료,차음료,일반차음료,00010900001,252,ATG컴퍼니)푸룬주스,1000
상온HMR,식용유,포도씨유,00020700001,253,롯데쇼핑)바쏘포도씨유,1000
과자,캔디,젤리,00050100001,254,CJ 쁘띠첼 구미젤리포도 50G,1000
과자,캔디,젤리,00050100002,255,CJ 쁘띠첼 구미젤리복숭아 50G,1000
과자,캔디,젤리,00050100003,256,CJ 쁘띠첼 구미젤리레몬 50G,1000
과자,기타,기타,00050100004,257,CJ 쁘띠첼 워터젤리오렌지 130ML,1000
과자,스낵,옥수수스낵,00050100005,258,CJ 비비고칩스위트콘 20G,1000
과자,스낵,감자스낵,00050100006,259,CJ푸드)비비고칩포테이토40G,1000
과자,가공분말류,기타프리믹스,00050100007,260,CJ제일제당)초코칩쿠키믹스290G,1000
상온HMR,소스류,맛가루,00050500002,261,CJ밥이랑야채랑27G,1000
상온HMR,레토르트,즉석밥,00050500003,262,CJ햇반컵반설렁탕밥253g,1000
상온HMR,레토르트,즉석국/찌개,00050500005,263,CJ 비비고 스팸 부대찌개 460G,1000
상온HMR,레토르트,기타레토르트,00050500006,264,CJ 제일안주 불돼지껍데기 160G,1000
상온HMR,레토르트,즉석죽,00050500007,265,CJ 비비고 새우계란죽 450G,1000
상온HMR,레토르트,즉석밥,00050500008,266,CJ 햇반컵반 철판제육덮밥 256G,1000
상온HMR,레토르트,즉석밥,00050500009,267,CJ 햇반컵반 스팸마요덮밥 219G,1000
상온HMR,레토르트,즉석밥,00050500010,268,CJ 햇반컵반 강된장보리비빔밥 280G,1000
상온HMR,레토르트,즉석국/찌개,00050500011,269,CJ 비비고 소고기미역국 500G,1000
상온HMR,레토르트,즉석국/찌개,00050500012,270,CJ 비비고 전복미역국 500G,1000
상온HMR,레토르트,즉석국/찌개,00050500013,271,CJ 비비고 감자탕 460G,1000
상온HMR,레토르트,즉석죽,00050500014,272,CJ 비비고 불낙죽 450G,1000
상온HMR,레토르트,즉석국/찌개,00050500015,273,CJ 비비고 차돌된장찌개 460G,1000
상온HMR,소시지,소시지,00050500016,274,CJ 맥스봉체다치즈어랏 400G,1000
상온HMR,과채음료,파우치음료,00050500017,275,CJ 쁘띠첼워터젤리사과 130ML,1000
상온HMR,과채음료,파우치음료,00050500018,276,CJ 쁘띠첼워터젤리포도 130ML,1000
상온HMR,레토르트,즉석밥,00050500020,277,CJ)햇반컵반중화마파두부덮밥270G,1000
상온HMR,레토르트,즉석밥,00050500021,278,CJ햇반컵반낙지콩나물비빔밥216g,1000
상온HMR,레토르트,즉석국/찌개,00050500022,279,CJ 비비고 추어탕 460G,1000
상온HMR,레토르트,즉석죽,00050500023,280,CJ 비비고 동지팥죽 450G,1000
상온HMR,레토르트,즉석죽,00050500024,281,CJ 비비고 녹두닭죽 450G,1000
상온HMR,레토르트,즉석밥,00050500025,282,CJ 햇반컵반 미역국밥 167G,1000
상온HMR,레토르트,즉석밥,00050500026,283,CJ 햇반컵반 사골곰탕국밥 166G,1000
상온HMR,레토르트,즉석밥,00050500027,284,CJ 햇반컵반 콩나물해장국밥 270G,1000
상온HMR,레토르트,즉석밥,00050500028,285,CJ 햇반컵반 황태국밥 170G,1000
상온HMR,레토르트,즉석밥,00050500029,286,CJ 햇반컵반 직화불고기덮밥 257G,1000
상온HMR,레토르트,즉석밥,00050500030,287,CJ 햇반컵반 치킨커리덮밥 278G,1000
상온HMR,레토르트,즉석밥,00050500031,288,CJ 햇반컵반 고추장나물현미비빔밥 229G,1000
상온HMR,레토르트,즉석밥,00050500032,289,CJ 햇반컵반 볶은김치덮밥 247G,1000
상온HMR,레토르트,즉석국/찌개,00050500033,290,CJ 비비고 육개장 500G,1000
상온HMR,레토르트,기타레토르트,00050500034,291,CJ 제일안주 소양불막창 170G,1000
상온HMR,소스류,국물용소스,00050500035,292,CJ 다담 냉이된장찌개양념 140G,1000
상온HMR,소스류,국물용소스,00050500036,293,CJ 다담 바지락순두부찌개양념 140G,1000
상온HMR,액상조미료,식초,00050500038,294,CJ 백설건강발효현미식초 500ML,1000
상온HMR,소스류,국물용소스,00050500039,295,CJ 사골애처음부터육수가쓰오 525ML,1000
상온HMR,소스류,국물용소스,00050500040,296,CJ 사골애처음부터육수멸치다시마 525ML,1000
상온HMR,분말조리식,기타분말조리식,00050500041,297,CJ밸런스밀귀리50G,1000
상온HMR,레토르트,즉석밥,00050500045,298,CJ햇반컵반버섯곤드레비빔밥189g,1000
상온HMR,레토르트,기타레토르트,00050500046,299,CJ제일제당)김치전컵전210G,1000
상온HMR,레토르트,즉석국/찌개,00050500047,300,CJ제일제당)비비고소고기무국500G,1000
상온HMR,레토르트,즉석국/찌개,00050500048,301,CJ제일제당)비비고동태탕460G,1000
상온HMR,레토르트,즉석국/찌개,00050500049,302,CJ제일제당)비비고차돌육개장500G,1000
상온HMR,레토르트,즉석밥,00050500050,303,CJ햇반컵반닭곰탕밥261g,1000
상온HMR,레토르트,즉석국/찌개,00050500052,304,CJ제일제당)비비고돼지고기김치찌개460G,1000
상온HMR,레토르트,즉석국/찌개,00050500053,305,CJ제일제당)비비고콩나물황태국500G,1000
상온HMR,레토르트,즉석국/찌개,00050500054,306,CJ제일제당)비비고알탕440G,1000
상온HMR,레토르트,즉석국/찌개,00050500055,307,CJ제일제당)비비고전북죽450G,1000
상온HMR,레토르트,즉석국밥,00050500056,308,CJ햇반컵반육개장국밥,1000
상온HMR,가공분말류,기타프리믹스,00050500058,309,CJ초코케익믹스300G,1000
상온HMR,레토르트,즉석죽,00050500059,310,CJ비비고소고기죽450G,1000
상온HMR,레토르트,즉석국/찌개,00050500060,311,CJ비비고진국설렁탕,1000
상온HMR,레토르트,즉석국/찌개,00050500061,312,CJ비비고전복미역죽,1000
상온HMR,레토르트,즉석죽,00050500063,313,CJ)비비고통단팥죽280G,1000
상온HMR,레토르트,즉석죽,00050500064,314,CJ)비비고누룽지닭백숙죽280G,1000
상온HMR,레토르트,즉석죽,00050500067,315,CJ비비고통단팥죽450G,1000
상온HMR,레토르트,즉석국/찌개,00050500068,316,CJ비비고순댓국460G,1000
상온HMR,소스류,양념소스,00050500070,317,CJ다담떡볶이양념,1000
상온HMR,레토르트,즉석국/찌개,00050500071,318,CJ햇반컵반순두부찌개국밥173G,1000
상온HMR,레토르트,즉석밥,00050500072,319,CJ햇반컵반김치날치알밥188g,1000
상온HMR,레토르트,즉석밥,00050500073,320,CJ햇반컵반버터장조림비빔밥216g,1000
상온HMR,레토르트,즉석밥,00050500074,321,CJ햇반컵반직화볶음짜장덮밥280G,1000
소스,액상조미료,맛술,00050700001,322,CJ 백설맛술로즈마리 500ML,1000
소스,소스류,국물용소스,00050700003,323,CJ 다담 마파두부양념 150G,1000
소스,소스류,국물용소스,00050700004,324,CJ 다담매운낙지볶음양념,1000
소스,소스류,국물용소스,00050700005,325,CJ 다담강된장찌개양념130G,1000
소스,소스류,국물용소스,00050700006,326,CJ 다담고깃집된장찌개양념130G,1000
소스,액상조미료,액젓,00050700007,327,CJ 하선정 서해안까나리액젓 1KG,1000
소스,액상조미료,액젓,00050700008,328,CJ 하선정 멸치액젓 1KG,1000
소스,소스류,파스타소스,00050700009,329,CJ백설 로제파스타소스180G,1000
소스,소스류,파스타소스,00050700010,330,CJ백설 토마토파스타소스180G,1000
소스,소스류,파스타소스,00050700011,331,CJ백설 치즈크림파스타소스140G,1000
소스,설탕류,물엿/시럽,00050700012,332,CJ 프락토올리고당,1000
소스,액상조미료,맛술,00050700013,333,CJ 백설맛술생강 500ML,1000
